year,month,mslp_anomaly,mslp_standardised,soi
2017,01,0.3,0.2,0.2
2017,02,-0.1,-0.1,-0.1
2017,03,1.5,0.9,0.9
2017,04,-0.3,-0.2,-0.2
2017,05,0.4,0.3,0.3
2017,06,-0.7,-0.4,-0.4
2017,07,1.3,0.8,0.8
2017,08,0.9,0.5,0.5
2017,09,1.0,0.6,0.6
2017,10,1.5,0.9,0.9
2017,11,1.5,0.9,0.9
2017,12,-0.2,-0.1,-0.1
2018,01,1.8,1.1,1.1
2018,02,-0.8,-0.5,-0.5
2018,03,2.4,1.5,1.5
2018,04,0.8,0.5,0.5
2018,05,0.6,0.4,0.4
2018,06,-0.2,-0.1,-0.1
2018,07,0.4,0.2,0.2
2018,08,-0.5,-0.3,-0.3
2018,09,-1.5,-0.9,-0.9
2018,10,0.6,0.4,0.4
2018,11,-0.1,-0.1,-0.1
2018,12,1.7,1.0,1.0
2019,01,-0.1,-0.0,-0.0
2019,02,-2.3,-1.4,-1.4
2019,03,-0.5,-0.3,-0.3
2019,04,0.2,0.1,0.1
2019,05,-0.7,-0.4,-0.4
2019,06,-0.7,-0.5,-0.5
2019,07,-0.6,-0.4,-0.4
2019,08,-0.2,-0.1,-0.1
2019,09,-1.9,-1.2,-1.2
2019,10,-0.6,-0.4,-0.4
2019,11,-1.4,-0.8,-0.8
2019,12,-0.9,-0.6,-0.6
